timestamp,Wine Cellar Cooler 1,Wine Cellar Cooler 2,Wine Cellar AC 1,Wine Cellar AC 2
2017-12-10T09:45:00,101.93,50.34,2.34,2.39
2017-12-10T10:00:00,239.91,65.1,2.32,2.31
2017-12-10T10:15:00,13.95,52.54,2.33,2.55
2017-12-10T10:30:00,13.92,85.52,2.33,2.54
2017-12-10T10:45:00,13.93,134.6,2.33,2.54
2017-12-10T11:00:00,200.03,85.16,2.34,2.55
2017-12-10T11:15:00,14.16,743.67,2.32,2.53
2017-12-10T11:30:00,75.15,670.45,2.3,2.3
2017-12-10T11:45:00,101.37,49.63,2.32,2.4
2017-12-10T12:00:00,224.66,61.75,2.32,2.52
2017-12-10T12:15:00,13.83,56.59,2.31,2.53
2017-12-10T12:30:00,202.92,76.86,2.32,2.53
2017-12-10T12:45:00,13.9,153.4,2.33,2.53
2017-12-10T13:00:00,28.05,951.5,2.32,2.44
2017-12-10T13:15:00,101.22,280.84,2.31,2.27
2017-12-10T13:30:00,189.22,51.3,2.31,2.47
2017-12-10T13:45:00,115.13,59.64,2.34,2.56
2017-12-10T14:00:00,13.8,75.67,2.34,2.56
2017-12-10T14:15:00,204.36,75.45,2.35,2.58
2017-12-10T14:30:00,14.03,492.29,2.35,2.54
2017-12-10T14:45:00,89.61,1068.82,2.76,2.76
2017-12-10T15:00:00,101.14,49.4,2.34,2.5
2017-12-10T15:15:00,265.01,63.13,2.34,2.55
2017-12-10T15:30:00,13.75,49.12,2.34,2.57
2017-12-10T15:45:00,13.78,71.35,2.34,2.56
2017-12-10T16:00:00,208.94,74.44,2.35,2.57
2017-12-10T16:15:00,13.98,596.32,2.33,2.43
2017-12-10T16:30:00,73.13,771,2.28,2.31
2017-12-10T16:45:00,101.26,49.33,2.34,2.58
2017-12-10T17:00:00,239.54,61.97,2.33,2.57
2017-12-10T17:15:00,13.76,48.23,2.33,2.58
2017-12-10T17:30:00,130.16,74.63,2.29,2.52
2017-12-10T17:45:00,81.68,68.81,2.35,2.57
2017-12-10T18:00:00,16.74,940.8,2.16,2.03
2017-12-10T18:15:00,101.86,380.21,1.57,1.07
2017-12-10T18:30:00,236.44,55.24,1.59,1.18
2017-12-10T18:45:00,65.33,56.1,1.6,1.21
2017-12-10T19:00:00,14.09,70.27,1.6,1.21
2017-12-10T19:15:00,205.59,73.2,2.26,2.47
2017-12-10T19:30:00,14.38,549.39,2.37,2.57
2017-12-10T19:45:00,67.33,751.15,2.37,2.54
2017-12-10T20:00:00,102.44,50.93,2.37,2.7
2017-12-10T20:15:00,237.66,63.23,2.37,2.69
2017-12-10T20:30:00,14.19,50.54,2.39,2.73
2017-12-10T20:45:00,192,81.04,2.38,2.71
2017-12-10T21:00:00,15.56,195.59,2.33,2.59
2017-12-10T21:15:00,36.52,949.09,2.3,2.45
2017-12-10T21:30:00,102.03,237.51,2.34,2.65
2017-12-10T21:45:00,272.19,63.39,2.33,2.56
